city,city_ascii,lat,lng,admin_name,population,country_id2
ÅŒuda-yamaguchi,Ouda-yamaguchi,34.5278,135.9525,Nara,27747,1
Pau dos Ferros,Pau dos Ferros,-6.1108,-38.2089,Rio Grande do Norte,27745,5
Gabasumdo,Gabasumdo,35.2554,100.5693,Qinghai,27742,7
Olching,Olching,48.2,11.3167,Bavaria,27741,44
Lapuyan,Lapuyan,7.6333,123.2,Zamboanga del Sur,27737,4
Lufeng,Lufeng,24.5738,103.113,Yunnan,27731,7
Tahla,Tahla,34.05,-4.42,FÃ¨s-MeknÃ¨s,27729,41
Izegem,Izegem,50.9172,3.215,Flanders,27729,78
Morgan City,Morgan City,29.7041,-91.192,Louisiana,27728,10
Ramsey,Ramsey,45.2617,-93.4494,Minnesota,27721,10
Ruston,Ruston,32.5329,-92.6363,Louisiana,27717,10
Arraial do Cabo,Arraial do Cabo,-22.9658,-42.0278,Rio de Janeiro,27715,5
Jeffersontown,Jeffersontown,38.2048,-85.5701,Kentucky,27715,10
Glen Ellyn,Glen Ellyn,41.8667,-88.0629,Illinois,27714,10
Kashima,Kashima,33.1042,130.0986,Saga,27710,1
Isla Vista,Isla Vista,34.4144,-119.8581,California,27707,10
George Town,George Town,19.2866,-81.3744,,27704,191
Shuiding,Shuiding,44.05,80.8667,Xinjiang,27702,7
Bellaa,Bellaa,30.0314,-9.5542,Souss-Massa,27699,41
Kongsberg,Kongsberg,59.665,9.6464,Buskerud,27694,122
Santâ€™Anastasia,Sant'Anastasia,40.8667,14.4,Campania,27690,52
Tournefeuille,Tournefeuille,43.5853,1.3442,Occitanie,27688,22
Mananjary,Mananjary,-21.2167,48.3333,Fianarantsoa,27686,56
Limeil-BrÃ©vannes,Limeil-Brevannes,48.7464,2.4883,ÃŽle-de-France,27684,22
Le Chesnay,Le Chesnay,48.8203,2.1303,ÃŽle-de-France,27683,22
PieÅ¡Å¥any,Piest'any,48.5833,17.8333,TrnavskÃ½,27681,136
CaÃ±on City,Canon City,38.443,-105.2203,Colorado,27676,10
Padre Bernardo,Padre Bernardo,-15.16,-48.2839,GoiÃ¡s,27671,5
Argelia,Argelia,2.2558,-77.2492,Cauca,27670,26
Ban Chang,Ban Chang,12.7209,101.0669,Rayong,27668,12
Kitsuki,Kitsuki,33.42,131.6184,ÅŒita,27668,1
Monticello,Monticello,45.298,-93.7984,Minnesota,27665,10
Atlautla,Atlautla,19,-98.7167,MÃ©xico,27663,8
BenicarlÃ³,Benicarlo,40.4167,0.4167,Valencia,27658,33
Ibotirama,Ibotirama,-12.185,-43.2208,Bahia,27655,5
Erice,Erice,38.0375,12.5875,Sicilia,27655,52
TangutÅ«ru,Tanguturu,15.34,80.039,Andhra Pradesh,27652,3
Niuchangqiao,Niuchangqiao,26.6247,106.0077,Guizhou,27651,7
